date,offset,size
2019-08-02,27616667687,61777453
2019-08-03,27678445140,62533677
2019-08-04,27740978817,54374346
2019-08-05,27795353163,54740996
2019-08-06,27850094159,55015343
2019-08-07,27905109502,53758015
2019-08-08,27958867517,48214794
2019-08-09,28007082311,54297766
2019-08-10,28061380077,53806155
2019-08-11,28115186232,50540842
2019-08-12,28165727074,51306164
2019-08-13,28217033238,54047594
2019-08-14,28271080832,52098342
2019-08-15,28323179174,50738942
2019-08-16,28373918116,52568512
2019-08-17,28426486628,49959592
2019-08-18,28476446220,47650263
2019-08-19,28524096483,51718284
2019-08-20,28575814767,56735141
2019-08-21,28632549908,55485004
2019-08-22,28688034912,56398525
2019-08-23,28744433437,54428082
2019-08-24,28798861519,52816716
2019-08-25,28851678235,54007534
2019-08-26,28905685769,53807156
2019-08-27,28959492925,51484179
2019-08-28,29010977104,51265867
2019-08-29,29062242971,51844987
2019-08-30,29114087958,49654537
2019-08-31,29163742495,50269543
2019-09-01,29214012038,51324062
2019-09-02,29265336100,51982670
2019-09-03,29317318770,50515327
2019-09-04,29367834097,53707148
2019-09-05,29421541245,47290123
2019-09-06,29468831368,47555772
2019-09-07,29516387140,50130991
2019-09-08,29566518131,38461620
2019-09-09,29604979751,38362901
2019-09-10,29643342652,42821640
2019-09-11,29686164292,42591287
2019-09-12,29728755579,54952909
2019-09-13,29783708488,54271208
2019-09-14,29837979696,53505590
2019-09-15,29891485286,51948343
2019-09-16,29943433629,53691101
2019-09-17,29997124730,53566382
2019-09-18,30050691112,50694905
2019-09-19,30101386017,48957116
2019-09-20,30150343133,43604853
2019-09-21,30193947986,41902550
2019-09-22,30235850536,42533173
2019-09-23,30278383709,40594474
2019-09-24,30318978183,40453064
2019-09-25,30359431247,38481272
2019-09-26,30397912519,38471827
2019-09-27,30436384346,38428625
2019-09-28,30474812971,38161302
2019-09-29,30512974273,38951721
2019-09-30,30551925994,38201584
2019-10-01,30590127578,37824804
2019-10-02,30627952382,37236253
2019-10-03,30665188635,36685231
