month,overall,public_housing,1-room_2-room,3-room,4-room,5-room_and_executive,private_housing,private_apts_and_condo,landed_properties,others
2017-11,622.2,368.5,11.5,64.8,152.7,139.5,252.9,167.5,85.4,0.8
2017-12,583.2,339.8,10.9,60.3,140.8,127.8,242.6,160.2,82.5,0.7
2018-01,558.7,328.3,10.6,58.5,136.4,122.8,229.6,150.4,79.3,0.7
2018-02,522,308.1,10.1,54.9,127.9,115.3,213.2,137.9,75.4,0.6
2018-03,532.6,309,9.8,54.9,128.5,115.8,223,143.3,79.7,0.7
2018-04,609.9,355.3,11.1,62.7,147.5,134,253.8,166.4,87.4,0.8
2018-05,638.1,370.1,11.7,65.6,153.9,138.9,267.2,178.3,88.9,0.8
2018-06,675.4,395.6,12.6,70.1,164.2,148.7,278.9,186.9,92.1,0.9
2018-07,633,371.9,11.9,65.5,154.8,139.7,260.3,173.4,86.8,0.8
2018-08,618.3,364.3,11.8,64.5,151.6,136.4,253.2,166.7,86.4,0.8
2018-09,630.6,367.8,11.8,65,152.9,138.1,262,174.5,87.5,0.7
2018-10,630.7,363.7,11.6,64.3,151.2,136.7,266.2,176.3,89.9,0.8
2018-11,608.6,356.6,11.5,62.3,148.6,134.2,251.2,167,84.3,0.8
2018-12,563.5,330.8,11.1,58.9,137.6,123.3,232,153.6,78.4,0.7
2020-01,565.5,328.3,11.7,58.1,137.7,120.8,236.4,155,81.4,0.7
2020-02,599.5,346.8,12.1,61.2,145,128.6,251.8,163.9,87.9,0.8
2020-03,620.6,354.6,12.3,62,148.2,132.1,265.2,175.3,90,0.8
2020-04,669.9,383.4,13.3,66.8,160.6,142.6,285.7,187.7,97.9,0.9
2020-05,663.3,381.9,13.7,67.4,160.2,140.6,280.5,183.9,96.6,1
2020-06,869.7,501.6,17.3,86.8,209.3,188.2,367,253.3,113.7,1.1
2020-07,886.7,515.2,18.1,87.1,215.2,194.8,370.6,259.6,111,1
